1,Acevedo,Manny,Microsoft
2,Adkins,Joy,OK Admin Office of the Courts
3,Assaf,Christine,HRTact
4,Assaf,William,Sparkhound
5,Awbrey,Jason,Improving Enterprises
6,Azam,Mohammad,Sogeti
9,Baehr,Tom,Software Solutionwerks
10,Barrington,Brian,Microsoft
11,Baudo,Chris,Slalom Consulting
12,Bethancourt,Jim,Triple Point Technology
13,Birkholz,Jonathan,Birkholz Creative
14,Bogard,Jimmy,Headspring
17,Brown,Barbara,Third Coast Complexity Consultants
18,Brown,Craig,STEM Resource Partners
23,Celaya,Juan,COMPU-DATA International, LLC
28,Champion,Tony,Champion DS
29,Chataboon,Victor,
30,Chedgey,Chris,Structure101
31,Clemmons,Eric,
32,Cook,John Paul,
33,Cravey,David,Clear Measure
34,Culver,Brian,Expert Point Solutions
35,de la Cruz,Rafael,Seneca Resources
36,de Nijs,Joost,Microsoft
37,DeCarlo,Paul,Microsoft
38,Delendik,Yury,Mozilla
39,Dyer,Andy,ChaiONE
40,Egly,Nolan,Headspring
41,Eller,Theresa,Entrance Software
42,Floyd,Benjamin,Headspring
43,Foshee,Jacob,Unplugged Development
44,Fulcher,Stephen,Crocodile Software
45,Fulgham,Kaleb,PROS
46,Furmankiewicz,Jacek,PROS
47,Gleason,Todd,FireHost
50,Gros,Cody,Sparkhound
51,Hagerman,Kurt,FireHost
54,Huguet,Mike,Microsoft
57,Hurst,Allen,Improving Enterprises
60,Jones,Zach,WhiteHat Security
61,Kenney,Sean,Avanade
69,Khipple,Kanwal,BrightStarr
70,Kuskos,Johnathan,WhiteHat Security
71,Lassala,Claudio,Dio Clouds Software
78,LeBlanc,Thomas,eQHealth Solutions
79,Lewallen,Ray,Telogical Systems
80,Liles,Devlin,Improving Enterprises
83,Lua,Jon,Microsoft
84,Lytle,Eric,BrightStarr
85,Mai,Long,Improving Enterprises
86,Marsh,Ryan,Improving Enterprises
89,Mason,Jennifer Ann,Rackspace
90,Mauer,George,Surge
91,Moreign,Anthony (Tex),Houston Cloud Computing User Group
98,Moreign,Valentino,
99,Oakman,Chris,PROS
100,Penchikala,Srini,Lead Editor, InfoQ
101,Prusakova,Jane,Improving Enterprises
102,Rayburn,Tim,Improving Enterprises
103,Raychaudhuri,Nilanjan,Typesafe Inc.
104,Resing,Tom,Jive Software
109,Reynolds,Joe,CODE Consulting
110,Reynolds,Mark,Southwestern Energy
113,Richardson,Leland,
114,Robles,Alonso,Headspring
115,Rosenberg,Mark,New Horizons
116,Sawyer,J,CGI
121,Schlak,Curtis,Curtissimo, llc
125,Seetepalli,Ram,Stryve Advisors
126,Segal,Yair,Peach Software Inc
131,Sehgal,Latish,Improving Enterprises
132,Shefman,Drew,Twin Technologies
133,Sowell,Eric,Match.com
134,Stewart,Robert,Situs Holdings, LLC
135,Strickland,Andrew,Sparkhound
136,Sullivan,Brian,Improving Enterprises
137,Sunar,Alper,
138,Tennison,Erik,Sparkhound
141,Thomas,Tim,Headspring Mobile
142,Vettor,Rob,Microsoft
143,Vice,Ryan,Vice Software
144,Vicknair,Stacy,Sparkhound
145,Weldon,Chris,Improving Enterprises
150,Wheat,Phil,Singularity Innovations
151,Wilkinson,Mark,ChaiOne
152,Wilson,Mark,Microsoft
153,Woodward,Ed,Connexions - Rice University
